1|1|1|12102|10179|0|4227|9938|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|1|0|0|1|2|2|0|0|0|0|0|0|0|true|1|0|1|0|2|7|0|0|0|0|0|0
1|1|2|10583|10276|0|10497|9937|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|0|3|1|1|0|1|0|0|0|0|0|false|2|0|0|0|3|2|0|0|0|0|0|0
1|1|3|9944|11892|0|9435|10385|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|1|true|0|0|1|0|4|0|0|0|0|0|0|0|0|false|2|0|0|0|0|5|0|0|0|0|0|0
1|1|4|9075|4717|0|11465|10768|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|false|2|0|0|0|3|7|1|0|0|0|0|0|0|true|0|0|1|0|1|0|4|0|0|0|0|0
1|1|5|11593|10167|0|10013|10168|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|false|0|0|0|0|0|0|1|0|0|0|0|0|0|true|0|0|1|0|4|0|3|0|0|0|0|0
1|1|6|11774|10385|0|10276|12102|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|1|0|2|4|0|0|0|0|0|0|0|false|0|0|0|0|2|0|1|0|0|0|0|0
1|1|7|4227|10768|0|10013|11892|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|1|0|0|0|2|5|0|1|0|0|0|0|0|true|0|0|1|0|2|0|0|0|0|0|0|0
1|1|8|10497|9938|0|9435|10167|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|1|0|3|1|2|2|0|0|0|0|0|0|0|false|0|0|0|0|2|0|0|0|0|0|0|0
1|1|9|10168|10583|0|11774|4717|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|0|0|2|0|3|0|0|0|0|0|2|true|2|0|0|1|2|8|0|0|0|0|0|0
1|1|10|9944|9075|0|11593|10179|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|false|0|0|0|0|2|0|8|0|0|0|0|0|0|true|2|0|0|1|1|5|1|0|0|0|0|0
1|1|11|11465|10167|0|9937|11774|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|1|0|0|0|3|0|0|0|0|0|0|true|1|0|0|1|0|3|0|0|0|0|0|0
1|1|12|9075|10013|0|9435|10583|0|0|0|0|false|false|false|0|0|0|false|false|false|1|0|0|1|0|0|1|0|true|0|0|0|1|1|0|1|1|0|0|0|0|1|true|0|0|0|3|3|0|0|0|0|0|0|0
1|1|13|10276|10497|0|11892|10179|0|0|0|0|false|false|false|0|0|0|false|false|false|1|0|0|0|0|0|1|0|true|1|0|3|1|2|2|0|1|0|0|0|0|0|true|2|0|0|1|2|2|0|0|0|0|0|0
1|1|14|4227|11465|0|9944|10168|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|2|0|0|1|1|2|3|1|0|0|0|0|2|true|0|0|1|0|3|0|6|0|0|0|0|0
1|1|15|9938|4717|0|11593|10385|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|2|true|1|0|0|0|1|10|0|0|0|0|0|0|0|true|2|0|0|1|3|1|0|0|0|0|0|0
1|1|16|12102|9937|0|10768|10168|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|1|0|1|0|0|0|0|0|0|0|0|false|0|0|0|0|3|0|2|0|0|0|0|0
1|1|17|10167|10385|0|9075|4227|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|2|0|0|1|3|1|1|0|0|0|0|0|0|false|2|0|0|0|1|2|2|0|0|0|0|0
1|1|18|11774|10179|0|10768|9435|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|2|0|0|1|4|2|0|0|0|1|0|0|0|false|0|0|0|0|0|0|1|0|0|0|0|1
1|1|19|10013|10276|0|11465|9938|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|1|1|4|3|1|0|0|0|0|0|0|true|0|0|0|1|0|0|4|1|0|0|0|0
1|1|20|9937|9944|0|10497|4717|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|2|true|0|0|0|1|2|0|0|0|0|1|0|0|2|true|3|0|1|0|2|12|0|0|0|0|0|1
1|1|21|12102|11892|0|11593|10583|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|1|true|0|0|1|0|1|0|2|1|0|0|0|0|0|true|0|0|0|0|3|0|2|1|0|0|0|0
1|1|22|10276|10768|0|9944|10167|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|1|0|1|2|0|0|1|0|0|0|0|false|0|0|0|0|3|0|5|0|0|0|1|0
1|1|23|10013|9435|0|12102|4717|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|0|0|1|0|1|0|0|1|0|0|0|0|2|true|2|0|0|0|3|10|0|0|0|0|0|0
1|1|24|9937|9075|0|11892|9938|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|false|0|0|0|0|0|0|3|0|0|0|0|0|0|false|0|0|0|0|4|0|0|0|0|0|0|0
1|1|25|11593|4227|0|10497|11774|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|2|0|0|0|1|3|0|0|0|0|0|0|0|true|2|0|0|1|3|1|0|0|0|0|0|0
1|1|26|11465|10179|0|10583|10385|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|true|1|0|0|1|3|3|2|1|0|0|0|0|0|true|2|0|0|1|1|3|0|0|0|0|0|0
1|1|27|10168|9435|0|9075|10276|0|0|0|0|false|false|false|0|0|0|false|false|false|0|0|0|0|0|0|1|0|false|0|0|0|0|4|0|2|0|0|0|0|0|0|true|0|0|0|1|0|3|1|0|0|0|0|0
