TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-orhb1-Q-1,Q-1,21-30 B,12216,0,0,11703,0,0,21,30,
1617velv-orhb1-Q-2,Q-2,40-60 B,6712,0,0,10339,0,0,40,60,
1617velv-orhb1-Q-3,Q-3,130-65 R,11778,0,0,9357,0,0,130,65,
1617velv-orhb1-Q-4,Q-4,30-16 R,10339,0,0,12000,0,0,30,16,
1617velv-orhb1-Q-5,Q-5,45-80 B,11703,0,0,10659,0,0,45,80,
1617velv-orhb1-Q-6,Q-6,86-10 R,6712,0,0,12216,0,0,86,10,
1617velv-orhb1-Q-7,Q-7,70-15 R,6712,0,0,9357,0,0,70,15,
1617velv-orhb1-Q-8,Q-8,10-85 B,12000,0,0,10659,0,0,10,85,
1617velv-orhb1-Q-9,Q-9,20-55 B,12000,0,0,11089,0,0,20,55,
1617velv-orhb1-Q-10,Q-10,100-55 R,11089,0,0,10659,0,0,100,55,
1617velv-orhb1-Q-11,Q-11,55-20 R,7776,0,0,10339,0,0,55,20,
1617velv-orhb1-Q-12,Q-12,30-30 T,12000,0,0,11778,0,0,30,30,
1617velv-orhb1-Q-13,Q-13,40-20 R,7776,0,0,11556,0,0,40,20,
1617velv-orhb1-Q-14,Q-14,35-30 R,10339,0,0,12216,0,0,35,30,
