TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-ak-ea-Q-1,Q-1,70-40 R,3208,8539,0,3492,4954,0,70,40,false,false,false,false,
1617velv-ak-ea-Q-2,Q-2,25-2 R,9019,10998,0,6695,9781,0,25,2,false,false,false,false,
1617velv-ak-ea-Q-3,Q-3,26-20 R,7388,9019,0,10998,3492,0,26,20,false,false,false,false,
1617velv-ak-ea-Q-4,Q-4,36-65 B,4954,9781,0,3208,6695,0,36,65,false,false,false,false,
1617velv-ak-ea-Q-5,Q-5,35-20 R,7388,3208,0,8539,9019,0,35,20,false,false,false,false,
1617velv-ak-ea-Q-6,Q-6,61-7 R,8539,7388,0,9781,10998,0,61,7,false,false,false,false,
1617velv-ak-ea-Q-7,Q-7,40-10 R,4954,6695,0,3492,7388,0,40,10,false,false,false,false,
1617velv-ak-ea-Q-8,Q-8,40-17 R,4954,8539,0,9781,9019,0,40,17,false,false,false,false,
1617velv-ak-ea-Q-9,Q-9,0-115 B,6695,10998,0,3492,3208,0,0,115,false,false,false,false,
1617velv-ak-ea-Q-10,Q-10,55-30 R,3208,10998,0,7388,4954,0,55,30,false,false,false,false,
1617velv-ak-ea-Q-11,Q-11,30-12 R,6695,3492,0,9781,8539,0,30,12,false,false,false,false,
1617velv-ak-ea-Q-12,Q-12,5-100 B,9019,4954,0,3492,3208,0,5,100,false,true,true,true,
1617velv-ak-di-Q-1,Q-1,20-10 R,5394,5664,0,11168,5247,0,20,10,false,false,false,false,
1617velv-ak-di-Q-2,Q-2,29-0 R,10998,9180,0,6112,10513,0,29,0,false,false,false,false,
1617velv-ak-di-Q-3,Q-3,38-15 R,5530,5532,0,4951,4955,0,38,15,false,false,false,false,
1617velv-ak-di-Q-4,Q-4,60-15 R,8539,10998,0,4539,5247,0,60,15,false,false,false,false,
1617velv-ak-di-Q-5,Q-5,0-30 B,5394,4951,0,6112,5664,0,0,30,false,false,false,false,
1617velv-ak-di-Q-6,Q-6,10-6 R,10513,4539,0,4955,5532,0,10,6,false,false,false,false,
1617velv-ak-di-Q-7,Q-7,52-10 R,5530,8539,0,9180,11168,0,52,10,false,false,false,false,
1617velv-ak-di-Q-8,Q-8,10-30 B,10513,5532,0,5394,5247,0,10,30,false,false,false,false,
1617velv-ak-di-Q-9,Q-9,0-30 B,6112,4955,0,8539,5664,0,0,30,false,false,false,false,
1617velv-ak-di-Q-10,Q-10,20-26 B,11168,4951,0,4539,9180,0,20,26,false,false,false,false,
1617velv-ak-di-Q-11,Q-11,10-50 B,5530,4955,0,10998,5394,0,10,50,false,false,false,false,
1617velv-ak-di-Q-12,Q-12,55-10 R,11168,8539,0,4951,10513,0,55,10,false,false,false,false,
1617velv-ak-di-Q-13,Q-13,10-20 B,5247,6112,0,4539,5530,0,10,20,false,false,false,false,
1617velv-ak-di-Q-14,Q-14,36-25 R,9180,5532,0,10998,5664,0,36,25,false,false,false,false,
1617velv-ak-di-Q-15,Q-15,40-5 R,4955,5247,0,11168,6112,0,40,5,false,false,false,false,
1617velv-ak-di-Q-16,Q-16,50-30 R,5394,5532,0,8539,9180,0,50,30,false,false,false,false,
1617velv-ak-di-Q-17,Q-17,20-25 B,4539,5664,0,5530,10513,0,20,25,false,false,false,false,
1617velv-ak-di-Q-18,Q-18,50-20 R,10998,5247,0,4951,8539,0,50,20,false,true,false,true,
1617velv-ak-ea2-Q-1,Q-1,15-15 T,9781,3208,0,5530,10610,0,15,15,false,false,false,false,
1617velv-ak-ea2-Q-2,Q-2,98-15 R,3492,5215,0,4539,10513,0,98,15,false,false,false,false,
1617velv-ak-ea2-Q-3,Q-3,43-5 R,4955,5247,0,10991,10610,0,43,5,false,false,false,false,
1617velv-ak-ea2-Q-4,Q-4,27-80 B,5215,4539,0,3208,5247,0,27,80,false,false,false,false,
1617velv-ak-ea2-Q-5,Q-5,2-50 B,4955,10991,0,3492,5530,0,2,50,false,false,false,false,
1617velv-ak-ea2-Q-6,Q-6,50-30 R,10513,3492,0,9781,5247,0,50,30,false,false,false,false,
1617velv-ak-ea2-Q-7,Q-7,10-32 B,5530,9781,0,4955,5215,0,10,32,false,false,true,false,
1617velv-ak-ea2-Q-8,Q-8,21-25 B,10991,4539,0,10610,10513,0,21,25,false,false,false,false,
1617velv-ak-ea2-Q-9,Q-9,60-60 T,3208,5215,0,3492,10991,0,60,60,false,false,false,false,
1617velv-ak-ea2-Q-10,Q-10,20-35 B,4955,9781,0,3208,4539,0,20,35,false,false,false,false,
1617velv-ak-ea2-Q-11,Q-11,35-20 R,10610,5247,0,10513,5530,0,35,20,false,false,false,false,
1617velv-ak-ea2-Q-12,Q-12,10-85 B,10513,5247,0,3208,4955,0,10,85,false,false,false,false,
1617velv-ak-ea2-Q-13,Q-13,10-15 B,5530,10991,0,9781,4539,0,10,15,false,false,false,false,
1617velv-ak-ea2-Q-14,Q-14,55-92 B,10610,5215,0,3492,4955,0,55,92,false,false,false,false,
1617velv-ak-er-Q-1,Q-1,60-50 R,11168,6695,0,6112,9180,0,60,50,false,false,false,false,
1617velv-ak-er-Q-2,Q-2,35-0 R,5532,10991,0,4954,7388,0,35,0,false,false,false,false,
1617velv-ak-er-Q-3,Q-3,50-35 R,9019,11168,0,9781,7388,0,50,35,false,false,false,false,
1617velv-ak-er-Q-4,Q-4,47-37 R,9180,10991,0,5532,9019,0,47,37,false,false,false,false,
1617velv-ak-er-Q-5,Q-5,40-7 R,4954,9781,0,6695,6112,0,40,7,false,false,false,false,
1617velv-ak-er-Q-6,Q-6,45-25 R,11168,6112,0,9019,10991,0,45,25,false,false,false,false,
1617velv-ak-er-Q-7,Q-7,17-30 B,5532,7388,0,6695,9781,0,17,30,false,false,false,false,
1617velv-ak-er-Q-8,Q-8,52-1 R,9180,7388,0,4954,6112,0,52,1,false,false,false,false,
1617velv-ak-er-Q-9,Q-9,20-45 B,9781,9019,0,4954,9180,0,20,45,false,false,false,false,
1617velv-ak-er-Q-10,Q-10,47-100 B,5532,6695,0,11168,10991,0,47,100,false,false,false,false,
1617velv-ak-er-Q-11,Q-11,10-48 B,9019,7388,0,6695,9180,0,10,48,false,false,false,false,
1617velv-ak-er-Q-12,Q-12,52-85 B,10991,4954,0,9781,11168,0,52,85,false,false,false,false,
1617velv-ak-er-Q-13,Q-13,30-57 B,6112,9019,0,5532,9180,0,30,57,false,true,false,true,
1617velv-ak-sa-Q-1,Q-1,35-22 R,4955,5394,0,10998,4951,0,35,22,false,false,false,false,
1617velv-ak-sa-Q-2,Q-2,20-65 B,5247,5530,0,3492,4954,0,20,65,false,false,false,false,
1617velv-ak-sa-Q-3,Q-3,5-51 B,4539,10610,0,10513,5215,0,5,51,false,false,false,false,
1617velv-ak-sa-Q-4,Q-4,95-0 R,5394,10998,0,4954,5247,0,95,0,false,false,false,false,
1617velv-ak-sa-Q-5,Q-5,2-46 B,4951,3492,0,10610,5215,0,2,46,false,false,false,false,
1617velv-ak-sa-Q-6,Q-6,40-35 R,10513,4539,0,5530,4955,0,40,35,false,false,false,false,
1617velv-ak-sa-Q-7,Q-7,50-70 B,4954,10998,0,10610,3492,0,50,70,false,false,false,false,
1617velv-ak-sa-Q-8,Q-8,55-40 R,5394,4951,0,5530,4539,0,55,40,false,false,false,false,
